	cpg36121529	cpg46706185	cpg67875497	cpg30829201	cpg57290841	cpg62583169	cpg51998513	cpg73167825	cpg78460153	cpg41413857
GSM32810	0.21089741073351959	0.8611317359118961	0.1886972398965729	0.48473898012995514	0.16569304684905278	0.37649096575321556	0.5628994184588687	0.5731564930085071	0.30938504751838514	0.34828554737709244
GSM38091	0.049889161558505785	0.5954135957973201	0.08228798392996224	0.6133053697223025	0.2859488961991382	0.8246418648601699	0.5199594570790258	0.3477047998708633	0.4638827732533163	0.46128166288833405
GSM43372	0.1943376337250948	0.837177209542567	0.3352330524822153	0.42221533077135465	0.2590110002559639	0.47698206634971374	0.5990904380716614	0.5965130827610766	0.2364685183561448	0.23975314620883248
GSM48653	0.43811716858684946	0.6618617872250878	0.08452793095013562	0.49944144648480526	0.21018329616398768	0.6457701013166283	0.3294245678364564	0.8007884845105906	0.42807518149009127	0.14664057338830144
GSM53934	0.0956962586770306	0.763938938695391	0.2010295033897593	0.6172370604552808	0.22442986669957282	0.6802442902686261	0.3882946112704112	0.6883752975359281	0.3526353234006169	0.19943511468752612
GSM59215	-0.030677183081205067	0.5990798442467836	0.2177048960208605	0.6960244706880121	0.40769647551236454	0.4772247580987613	0.46092853054974475	0.6030896445688132	0.5932439111751362	0.3844549698230977
GSM64496	0.142776368011833	0.9041720461474696	0.18025371901283657	0.28780938810715073	0.4555549642138867	0.5773085953306079	0.36175486910570487	0.28397031788734484	0.6991260034430768	0.23124623823381868
GSM69777	0.18849794164752437	0.7926881198961573	0.20878224532005624	0.4620507891498864	0.22033607192125612	0.3711123075882409	0.2812468732212057	0.64610324909266	0.07333202093925967	0.22073246285419376
GSM75058	0.21344530605381698	0.578831810519142	0.30587069107691356	0.4024712447591845	0.18950134033307411	0.6610792795454962	0.37580522658085486	0.6949036020004283	0.2951808082357823	0.19074308346391866
GSM80339	0.10501013854584078	0.8278213001894901	0.3399457950324195	0.4301517979781961	0.2679556055525258	0.5403932716102925	0.6081939107671068	0.5212481784993508	0.08888385313363173	0.33522163913381176
GSM85620	0.12714262144092905	0.5850740883293906	0.30608878700571845	0.6294038223298265	0.11217401672741555	0.35202484523349464	0.5040598145458516	0.5586485643453457	0.25247536430798645	0.3789707691876027
GSM90901	0.447418235709202	0.5856769457074015	0.2711637586315689	0.5018039906758056	0.23490018869817617	0.46575660348281517	0.6682803110185107	0.4331623791911165	0.2791607636703868	0.29804100491732827
GSM96182	0.28575736862099366	0.763807319415569	0.3423829258579475	0.491702982114512	0.35312104896826574	0.697543257269118	0.3693685009303469	0.5425194057380944	0.8242109931844102	0.166259177713678
GSM101463	0.20404990914975252	0.5029693089288767	0.20916470077053337	0.4065206504181589	0.3709510803909445	0.0758958100048231	0.5809473496516735	0.5486419535868996	0.4620350982321108	0.18793359625515704
GSM106744	0.14433908590248684	0.5594944165718028	0.15841585432216138	0.6256729507400531	0.16535813970616398	0.6608665955238926	0.5127180153201107	0.5122889383984327	0.28606422530036735	0.42453589803211267
GSM112025	-0.06136584507107751	0.6549754376303767	0.3199022286861978	0.4358522540003765	0.31969355205974	0.2788738754900771	0.46140134548188483	0.4885393571223772	0.1248230302826639	0.3305700947544726
GSM117306	0.4813210996678319	0.6466215549666903	0.08376176407612779	0.4735509129949098	0.21021103322081675	0.569452093501563	0.3506177121421674	0.38490559321514584	0.8535904937811463	0.25751257497380453
GSM122587	0.10702721548499983	0.9055942852675027	0.044489446457567305	0.5387644601892737	0.18715115269431004	0.4459130076720394	0.44920007461944284	0.6371349208828553	0.5636510883720771	0.17096897098537217
GSM127868	0.13452644438480665	0.6475906013900307	0.2588040003804473	0.46193160819180634	0.007288694046524241	0.6260359920302194	0.5299850428074572	0.4498102360691735	0.4205231375220582	0.3169718414834748
GSM133149	0.44671013098283585	0.8151644395085286	0.38040835587258226	0.5173169008565126	0.17275300567610502	0.4755552528187951	0.5547301302128809	0.9238102318963904	0.4609020999259801	0.46433135298651346
GSM138430	0.30978107725140686	0.5112722047158322	0.13154629447573707	0.4807145611933932	0.22567583982384126	0.5774392104723339	0.6373571963702394	0.36929392795653604	0.5724000398795964	0.22336967628959603
GSM143711	0.2716262954399435	0.6111700154182816	0.2042124133005178	0.4781243978158737	0.1537691400937491	0.5214844475014824	0.4125299166088384	0.43995724541557935	0.6302081593407907	0.2647839581598195
GSM148992	-0.01873426681533258	0.8243163614580782	0.07420335793153021	0.37272492811591873	0.19676706573066696	0.2615844193800419	0.5635558375444136	0.5925355988439843	0.9143025004881059	0.3004838033530983
GSM154273	0.25011248534779595	0.44526426283362674	0.20276833197991687	0.4740057457663413	0.3540503522847517	0.390145905419434	0.5685888539495232	0.5314462160773097	0.2162579572339528	0.17184095802802654
GSM159554	0.0990874522561206	0.7236540992949634	0.11285983893682822	0.7421090077486733	0.37749751144524313	0.5893727711059711	0.5236116675441738	0.5791680306885608	0.700327913682447	0.42188236452819833
GSM164835	0.5070924620717212	0.5453323730385646	0.27362935156737345	0.4570975904514875	0.11204005592031023	0.3104473199151577	0.41700432778305274	0.12201695251298994	0.6753494226124188	0.41319752656683195
GSM170116	0.2181097402533266	0.46169725140749585	0.16339499664925292	0.44957938809733977	0.12022735022715351	0.2261883358899674	0.5431698888814074	0.2716596774022733	-0.0069522026547105265	0.06713669911540227
GSM175397	0.3180518388605405	0.44410972952341987	0.1429531482620969	0.5156416020050761	0.10923962660388548	0.7418274132511306	0.5234471557901739	0.7057487451710669	0.3385651326983644	0.3493045207634191
GSM180678	0.2075055580375066	0.6783614339253853	0.3952850849540261	0.5062056790284825	0.17053102647727397	0.6240352079129977	0.4241249068048762	0.5831125780440573	0.6955757728828791	0.06805521019101685
GSM185959	0.39272634034887866	0.41276651436271095	0.14863275512675445	0.40174690605246005	0.10638805335099115	0.5359781540173053	0.37614842652846636	0.4927265820136183	0.5750627308614129	0.3254475739441948
GSM191240	0.23612118568609392	0.5908844336739993	0.0933657263919407	0.4339475092410371	0.033627570940648555	0.6615468223348138	0.5397870813982111	0.567829091163061	0.33500592512517186	0.4186632630328684
GSM196521	0.020726221914844384	0.8532647905075266	0.17897729945455348	0.4199226440264351	-0.055808710104892356	0.5282790501304176	0.46604740203543	0.6734600614189364	0.8384820892130757	0.3446776472728468
GSM201802	-0.12126879703141619	0.7891793404975054	0.287038201852973	0.4933632584778314	0.09499267427090095	0.41195709545503134	0.5970072960888523	0.6524047477021692	0.6761152114499679	0.2707222849300789
GSM207083	0.22098565901571907	0.6880216757136731	0.4246182206170668	0.34755319197216705	0.2663244083697899	0.2771451901268032	0.4746934975741385	0.5921976943399314	0.28061232900230504	0.4350480431651615
